claim_id,policy_id,policyholder_id,claim_type,incident_date,filed_date,days_to_file,claim_amount,approved_amount,status,description,vehicle_id,provider_id,shop_id,law_firm_id,adjuster_id,payout_bank_account_id,submission_channel,ip_hash,device_hash,label_is_fraud,fraud_scenario
CL0000000,PO001395,PH002473,HEALTH,2024-09-08,2024-09-10,2,13811.1,9476.56,PENDING,Training top along office place heart American ahead soon rock compare.,,PR000002,,,AJ000023,BA001433,WEB,737bf501d7464b50f0019bba,7b517010ddc663f2252a3a82,0,
CL0000001,PO002168,PH000572,HOME,2024-01-07,2024-01-12,5,14651.8,13682.48,APPROVED,Song fight brother paper region three arrive you tree blood who could protect.,,,,,AJ000001,BA001964,PHONE,0dcef330b15fb7f016f1c193,58aae0205ceda36d0c7b8ea1,0,
CL0000002,PO002255,PH001544,HEALTH,2025-06-26,2025-07-03,7,12281.49,5196.59,APPROVED,Sister hand machine quality feel around discover class low newspaper dinner on decision.,,PR000184,,,AJ000008,BA000691,WEB,d4be4f693fba020f50002ecc,1259ae30a73d9f691a70074f,0,
CL0000003,PO001968,PH001696,HEALTH,2024-02-05,2024-02-19,2,21168.54,11530.35,APPROVED,Writer yourself cost film despite president yet why.,,PR000246,,,AJ000013,BA001919,PHONE,02d888c58fa90e87c19b52a3,30791e4b8d0718b944cca44c,1,shared_bank_account_ring
CL0000004,PO002317,PH000623,AUTO,2025-06-21,2025-07-05,14,4180.97,3572.65,DENIED,Building staff maybe rate book no factor recent nothing can big.,VE000312,,RS000064,,AJ000019,BA001483,WEB,09d1f7dbf2b1fd54c3f893e3,a56058c0b1cf694410d9068c,0,
CL0000005,PO002360,PH002153,HOME,2024-04-25,2024-04-30,5,14034.41,8910.6,APPROVED,Tend dinner which practice time heavy fall within.,,,,,AJ000048,BA000748,AGENT,1f2f1dbc5d0cdfc5cf2edb0c,f24385d2ce7906560c3ff015,0,
CL0000006,PO000027,PH002062,AUTO,2025-04-27,2025-04-27,0,7672.65,5127.0,DENIED,Full once back service relate nation series program.,VE001386,,RS000175,LF000001,AJ000009,BA000652,AGENT,5cf9fb7fc068c811ad7133d9,5594d57724d8b3a3c38b1a7a,0,
CL0000007,PO000014,PH002465,HOME,2024-03-25,2024-04-08,14,10765.73,4701.96,APPROVED,Ago meet test create development over study.,,,,,AJ000031,BA000563,AGENT,ede9e7f28fe65df0b964420a,6ec461e7795c3d514c17669c,0,
CL0000008,PO000279,PH000667,HEALTH,2024-02-26,2024-03-11,1,15765.14,9076.71,APPROVED,Him issue artist girl information notice research step unit or save threat hotel.,,PR000005,,LF000003,AJ000022,BA000700,AGENT,5bb1fcad8c2c9e6c85b1e25d,d403da53a426a30115a530d1,1,triangle_lawfirm_provider
CL0000009,PO002339,PH000175,AUTO,2025-04-03,2025-04-06,3,4421.18,2736.86,DENIED,Ability what skin lead ten couple however.,VE001971,,RS000136,,AJ000021,BA001197,WEB,772c9ceeec3cd12fb6cee3c1,c0d8b1d3ac6baf1be4519971,0,
