provider_id,provider_name,provider_type,npi_hash,address_id
PR000000,"Wheeler, Walker and Wilson Clinic",PT,8560b763fb6d134c6d768c8e,AD001216
PR000001,Austin Group Medical,HOSPITAL,0e0bfcbde972f21460c90fe4,AD001188
PR000002,Lara PLC Clinic,HOSPITAL,7406c2dd56549452e89ae9bb,AD001658
PR000003,Jenkins Inc Health,HOSPITAL,d9b0e7a5494d38da0cd4c787,AD001239
PR000004,Rodriguez-Kelley Medical,PT,74342596dfcce89846031deb,AD000308
PR000005,Williams and Sons Clinic,HOSPITAL,88a6f050364bf7debfefa75e,AD000211
PR000006,Gray-King Care,PT,e7c60ec589f530f8dbc1a138,AD000172
PR000007,"Riley, Parks and Singleton Health",CLINIC,fdb51ea7a8b05f43e3104233,AD000507
PR000008,"Fuentes, Chavez and Stein Medical",HOSPITAL,963c083eb99e11417ddd2f26,AD001073
PR000009,"Tanner, Pena and Lambert Health",HOSPITAL,aa3f9b983b10e7abfdd3dc42,AD000763
PR000010,"Anderson, Sweeney and Nguyen Care",HOSPITAL,b7691991a1b3129a9a9f9066,AD000837
PR000011,"Glass, Shepard and Smith Care",PT,4dce4895e8d6985abc1b324b,AD001224
PR000012,"Jenkins, Garcia and Cortez Clinic",PT,8ff10506fac9dce0ece661cc,AD001325
PR000013,Gordon PLC Care,CLINIC,694e9f7685ff841f0f27f405,AD000675
PR000014,Rowland Inc Clinic,PT,e60e61f6a2249603537cdc62,AD001389
PR000015,"Wagner, Anderson and Berg Medical",HOSPITAL,a015516adbb2cb8ae2226fac,AD000516
PR000016,Brown and Sons Health,HOSPITAL,3e74b6344427626a8ea8f638,AD000166
PR000017,Hartman-Brown Health,HOSPITAL,bae13dcb56ccdafb8660ec0d,AD000635
PR000018,Rodriguez-Perry Medical,CLINIC,56ae920a194ed0d4ff1d366b,AD001218
PR000019,Lambert Group Clinic,HOSPITAL,9692f0e4eb1a63af79019639,AD001144
PR000020,Taylor Ltd Medical,PT,1e8241bd756523d114574c14,AD001621
PR000021,Cruz-Johnston Care,CLINIC,75e75899f25ea41c865dab69,AD001372
PR000022,Bryant LLC Clinic,PT,872b1508173c53483e2744e2,AD001373
PR000023,"Willis, Vega and Douglas Medical",PT,497265c9e271cfe3db1e029d,AD000741
PR000024,Lewis-Rasmussen Clinic,HOSPITAL,228b8e0921dceb42b39fddd1,AD000632
PR000025,"Thompson, Benson and Smith Health",CLINIC,8903bcbffc3cb50ec776cf7b,AD000699
PR000026,Barrett-Watts Medical,CLINIC,aee37ed45dbb47c71d885a02,AD000463
PR000027,Watkins LLC Health,CLINIC,4af2c34a7cf5078661bc3b2e,AD000158
PR000028,"Bray, Thompson and Garcia Care",CLINIC,2a2e901b711cbb970bfa8d0e,AD001039
PR000029,Barnes-Thomas Clinic,PT,42da77904edd087145dddcd9,AD000689
PR000030,Fletcher-Walker Health,PT,9d74ff256e6b758807edc624,AD000771
PR000031,Thompson-Koch Health,CLINIC,7b91561cbf700604c4320a0f,AD000370
PR000032,"Cochran, Medina and Smith Health",PT,55b25693511a905035861774,AD000896
PR000033,Ward Inc Clinic,HOSPITAL,0574fb011c8a56885f9c9501,AD000746
PR000034,Martinez Group Health,HOSPITAL,886c4926ec3941077eecc7d2,AD001250
PR000035,Ortiz LLC Care,PT,edcf64648d2e19245a328efe,AD001605
PR000036,Martin-Howard Medical,CLINIC,0ab6473ea6c73f23af25d188,AD001093
PR000037,"Cordova, Brown and Taylor Health",HOSPITAL,7c305c6560b5e50e16cb5529,AD001656
PR000038,Braun Ltd Medical,CLINIC,0e1a1f530c92a4263e59bd37,AD000753
PR000039,Eaton-Cox Medical,HOSPITAL,beb404e63bf5a3eee81cb239,AD001575
PR000040,Alexander-Esparza Care,HOSPITAL,cb5735c5294c964685c0ab08,AD001029
PR000041,Lambert and Sons Medical,CLINIC,8f23c211dc300d7bc4559555,AD001672
PR000042,"Barnes, Kim and Fox Health",PT,bc06637341a3f137a052e7ce,AD000283
