shop_id,shop_name,address_id,phone
RS000000,Johnson and Sons Body Shop,AD001798,643-216-6518
RS000001,Sanders Ltd Body Shop,AD000974,402-898-1687x833
RS000002,Martinez Inc Body Shop,AD000977,385.789.4729
RS000003,Garcia-Ortega Body Shop,AD001332,398-936-2308
RS000004,Page Inc Body Shop,AD000408,461.224.2044x1568
RS000005,Moore-Shelton Body Shop,AD001548,+1-499-894-9940x189
RS000006,White-Herman Body Shop,AD000588,001-836-274-0865
RS000007,Bauer Ltd Body Shop,AD000657,(795)770-3493
RS000008,Nelson Group Body Shop,AD000584,(307)798-7679x9368
RS000009,Williams PLC Body Shop,AD001322,563-647-7741x5463
RS000010,"Evans, Higgins and Salazar Body Shop",AD000121,628-402-9143
RS000011,Woodard LLC Body Shop,AD001574,901.355.9720x56522
RS000012,"Taylor, Barnes and Dunn Body Shop",AD000183,250.809.6708x338
RS000013,"Lindsey, Hebert and Schroeder Body Shop",AD001335,982.487.8991
RS000014,Pugh LLC Body Shop,AD001175,(488)915-1369
RS000015,Proctor Inc Body Shop,AD000475,3235977043
RS000016,Kelly-Schroeder Body Shop,AD001095,(916)338-8832x899
RS000017,Wood LLC Body Shop,AD001512,898-211-1809x816
RS000018,"Parsons, Hudson and Dickson Body Shop",AD001480,+1-691-212-8147x1438
RS000019,Bowers Inc Body Shop,AD001741,740-533-5969x00705
RS000020,Oliver and Sons Body Shop,AD000076,001-977-918-6986x8301
RS000021,Thompson-Brown Body Shop,AD000358,+1-449-827-4537x95696
RS000022,"Brown, Powell and Thomas Body Shop",AD000855,001-204-217-9588x30335
RS000023,Wallace Group Body Shop,AD001715,6029855038
RS000024,Smith Group Body Shop,AD000360,297.631.7367x23101
RS000025,Conley-Ray Body Shop,AD000074,(813)501-2073x081
RS000026,Mason-Miller Body Shop,AD001712,001-650-527-2577x26195
RS000027,Rodriguez-Martin Body Shop,AD000813,235.785.8243x4822
RS000028,James-Zuniga Body Shop,AD001613,+1-736-723-9161x35024
RS000029,Rogers Group Body Shop,AD001014,470.288.0635x72989
RS000030,Torres-Allen Body Shop,AD000381,001-828-729-1271x6431
RS000031,"Dunn, Brown and Bowers Body Shop",AD001533,641.916.0201x22125
RS000032,Young Group Body Shop,AD001786,284-389-3698x0225
RS000033,Brooks Ltd Body Shop,AD000592,281.737.4214x157
RS000034,Huffman Inc Body Shop,AD001795,001-646-605-9899x26110
RS000035,"Knapp, Manning and Gutierrez Body Shop",AD000076,001-814-394-3405x013
RS000036,"Torres, Byrd and Gillespie Body Shop",AD000018,(475)745-2355x897
RS000037,Smith-Weiss Body Shop,AD000611,(641)210-8715
RS000038,"Elliott, Thompson and Frederick Body Shop",AD001163,+1-634-766-2972x54835
