vehicle_id,vin_hash,make,model,year
VE000000,e8e9255dbf6129ca8692e6d6,Nissan,Sentra,2013
VE000001,65d38d66aed6499f0be93c4c,Hyundai,Elantra,2021
VE000002,d495fcd015ba56611a74f7b6,Nissan,Sentra,2023
VE000003,58b0c7fdd4a6506efa403ae6,Toyota,Corolla,2019
VE000004,9835bd5193b4c24f84bb3f14,Hyundai,Elantra,2020
VE000005,675409ed7730da80bfb58a00,Kia,Sportage,2024
VE000006,423b1127c0f895655e24f61a,Ford,Escape,2021
VE000007,88d041f696d9e12a5bd40e19,Chevrolet,Malibu,2012
VE000008,b19d7606ffe53b5db75bff23,Ford,Escape,2020
VE000009,0b947d62d176075d0a665662,Honda,Civic,2025
VE000010,d60128497d4da0c38a86992f,Chevrolet,Malibu,2015
VE000011,40173c0d6196a7f3d3e95ed8,Kia,Sportage,2015
VE000012,4eb93b7480ebfa5df9686c6b,Ford,Escape,2012
VE000013,e09a30a17e5d3c9ecde56643,Kia,Sportage,2022
VE000014,5d693c9328126e952b921fbb,Toyota,Corolla,2025
VE000015,aa57da76acca2397a0387ac0,Chevrolet,Malibu,2021
VE000016,6fec83d2b6da1f9779f62bad,Nissan,Sentra,2024
VE000017,b9e724e2fed3e2d8d2713cde,Honda,Civic,2020
VE000018,30be64b5613c7a7408d680b7,Honda,Civic,2016
VE000019,78044f304decd45d6515188c,Honda,Civic,2018
VE000020,938475dcb2f767c7ee90313f,Hyundai,Elantra,2010
VE000021,a51914087ff2ae675293151d,Chevrolet,Malibu,2019
VE000022,98689fa90ec1ac428cd9c399,Toyota,Corolla,2025
VE000023,4bba1760404b26e230a0ead2,Hyundai,Elantra,2014
VE000024,4551a2b42bbf4b342ad610d6,Toyota,Corolla,2016
VE000025,7c3f2e7d80cd30f88a7a34ff,Chevrolet,Malibu,2009
VE000026,25356c71a443f08417b13447,Kia,Sportage,2010
VE000027,264b8fa8a7a86cf36aa99818,Honda,Civic,2025
VE000028,5bc4481a6d1e77521566c3ee,Honda,Civic,2023
VE000029,a31a7f7d208d1a489d8f770b,Honda,Civic,2018
VE000030,96510050cbd695d168473822,Ford,Escape,2008
VE000031,fbfd5a87966ffc7f446e36af,Honda,Civic,2014
VE000032,e37a90d0e05cd867c1716796,Hyundai,Elantra,2011
VE000033,71fb56463f7a889b143cab50,Hyundai,Elantra,2023
VE000034,653cde0a7d6e4c496ca19455,Honda,Civic,2014
VE000035,f2b4c7b427624cbf3a23b1bf,Chevrolet,Malibu,2015
VE000036,9f674a7c5bb923fcc734f28f,Nissan,Sentra,2018
VE000037,2382fb3fa112797a5d5c0f67,Kia,Sportage,2017
VE000038,914ece71d84a059ccf6e4921,Chevrolet,Malibu,2022
VE000039,3282691949a431ffa3210067,Nissan,Sentra,2019
VE000040,499340ff8357f019e6ea9544,Ford,Escape,2016
VE000041,93fed76d13170614745eb9cc,Ford,Escape,2024
VE000042,d216cda483895594cb73547f,Chevrolet,Malibu,2022
VE000043,ba675fca540f8da5f8929739,Toyota,Corolla,2023
VE000044,dc25d224afe83e7926077e52,Kia,Sportage,2018
VE000045,b79245c1b553eececa6131f7,Honda,Civic,2019
VE000046,f928cdce14a4cabd0c1eb530,Ford,Escape,2021
VE000047,62031373bbd321fccee80a34,Toyota,Corolla,2015
VE000048,d2bd3b330c6878ad6618e79c,Hyundai,Elantra,2012
VE000049,dfea3a2e72b9c1cd5628531f,Toyota,Corolla,2016
VE000050,833f1fdf7e3db3538c66ee97,Nissan,Sentra,2021
VE000051,dcb7171970d5a336eae494c3,Ford,Escape,2012
VE000052,4da233258b325d4a40de825a,Honda,Civic,2018
VE000053,3d0af0e28850bc2acc5bf35a,Honda,Civic,2020
VE000054,e673ffa4c0e7438bdb00c7b0,Nissan,Sentra,2015
